User 10,User 18,User 280,User 667,User 762,User 778,User 839,User 851,User 874,User 1045,User 1219,User 1232,User 1603,User 2213,User 3768,User 4068,User 5153,User 5228,User 5350,User 5413
0.0,0.0,2.33,0.0,1.69,1.92,2.64,2.65,4.43,0.98,2.43,1.62,0.82,0.78,0.72,1.11,1.37,0.54,2.36,3.62
5.0,0.53,2.27,0.0,1.73,4.51,2.64,2.64,3.64,1.54,2.58,2.44,0.85,0.8,5.0,1.15,1.42,0.53,2.25,5.0
3.64,3.69,5.0,1.43,2.66,1.96,2.17,2.65,0.0,1.54,2.58,0.0,1.82,1.56,1.37,1.83,1.43,0.0,0.0,2.62
3.64,0.0,0.0,0.0,1.96,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.63,2.9,0.0,3.25,2.56,0.0,1.29,2.62
0.0,0.0,2.32,1.42,1.94,2.01,0.0,1.87,0.0,1.53,0.0,0.0,0.0,0.0,0.0,0.0,3.18,1.47,1.65,0.0
0.0,2.93,0.0,1.57,0.0,2.0,0.0,0.0,0.0,5.0,3.72,0.0,0.0,0.0,1.48,5.0,0.0,1.48,1.25,1.44
5.0,2.95,4.17,5.0,1.97,2.02,1.3,1.33,2.23,5.0,2.09,3.74,1.63,5.0,5.0,5.0,5.0,1.5,1.24,1.87
2.35,0.0,2.91,1.52,0.0,1.99,0.0,0.0,1.91,4.0,2.64,2.26,1.66,3.41,4.15,0.0,0.0,1.53,0.0,1.35
0.0,0.0,0.0,0.0,5.0,0.0,1.41,0.0,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.2,0.0,0.0,2.1,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.59,0.0,0.0,0.0,0.0
